Produto;Nível de comercialização;UF;Período;Preço medio
;;;04/2022;R$ 94,72
;;;05/2022;R$ 93,20
;;;06/2022;R$ 92,13
;;;07/2022;R$ 89,72
;;;08/2022;R$ 88,10
;;;09/2022;R$ 88,10
;;;10/2022;R$ 89,96
;;;11/2022;R$ 88,96
;;;12/2022;R$ 87,02
;;;01/2023;R$ 86,81
;ATACADO;PE;01/2020;R$ 60,55
;;;02/2020;R$ 56,81
;;;03/2020;R$ 56,81
;;;04/2020;R$ 57,64
;;;05/2020;R$ 51,00
;;;06/2020;R$ 48,43
;;;07/2020;R$ 53,35
;;;08/2020;R$ 62,13
;;;09/2020;R$ 65,48
;;;10/2020;R$ 62,70
;;;11/2020;R$ 78,69
;;;12/2020;R$ 69,89
;;;01/2021;R$ 75,30
;;;02/2021;R$ 76,77
;;;03/2021;R$ 82,47
;;;04/2021;R$ 93,21
;;;05/2021;R$ 104,50
;;;06/2021;R$ 95,00
;;;07/2021;R$ 95,00
;;;08/2021;R$ 105,00
;;;09/2021;R$ 104,68
;;;10/2021;R$ 87,52
;;;11/2021;R$ 85,23
;;;12/2021;R$ 84,13
;;;01/2022;R$ 92,43
;;;02/2022;R$ 99,47
;;;03/2022;R$ 96,39
;;;04/2022;R$ 94,90
;;;05/2022;R$ 90,91
;;;06/2022;R$ 90,36
;;;07/2022;R$ 93,43
;;;08/2022;R$ 91,54
;;;09/2022;R$ 92,70
;;;10/2022;R$ 86,50
;;;11/2022;R$ 80,59
;;;12/2022;R$ 83,09
;;;01/2023;R$ 87,50
;ATACADO;PI;01/2020;R$ 57,65
;;;02/2020;R$ 53,76
;;;03/2020;R$ 52,58
;;;04/2020;R$ 52,79
;;;05/2020;R$ 47,76
;;;06/2020;R$ 44,95
;;;07/2020;R$ 49,43
;;;08/2020;R$ 55,13
;;;09/2020;R$ 58,08
;;;10/2020;R$ 60,47
;;;11/2020;R$ 75,88
;;;12/2020;R$ 74,35
;;;01/2021;R$ 75,34
;;;02/2021;R$ 75,76
;;;03/2021;R$ 76,13
;;;04/2021;R$ 86,47
;;;05/2021;R$ 90,26
;;;06/2021;R$ 86,68
;;;07/2021;R$ 89,13
;;;08/2021;R$ 96,01
;;;09/2021;R$ 96,54
;;;10/2021;R$ 88,23
;;;11/2021;R$ 86,27
;;;12/2021;R$ 85,15
;;;01/2022;R$ 90,67
;;;02/2022;R$ 92,39
;;;03/2022;R$ 93,39
;;;04/2022;R$ 92,18
;;;05/2022;R$ 87,54
;;;06/2022;R$ 85,33
;;;07/2022;R$ 82,51
;;;08/2022;R$ 82,52
;;;09/2022;R$ 84,62
;;;10/2022;R$ 84,29
;;;11/2022;R$ 82,08
;;;12/2022;R$ 83,04
;;;01/2023;R$ 84,01
;ATACADO;PR;01/2020;R$ 45,58
;;;02/2020;R$ 45,91
;;;03/2020;R$ 48,16
;;;04/2020;R$ 47,23
;;;05/2020;R$ 46,04
;;;06/2020;R$ 45,33
;;;07/2020;R$ 46,86
;;;08/2020;R$ 51,57
;;;09/2020;R$ 55,84
;;;10/2020;R$ 66,75
;;;11/2020;R$ 75,86
;;;12/2020;R$ 71,79
;;;01/2021;R$ 78,91
;;;02/2021;R$ 79,46
;;;03/2021;R$ 85,01
;;;04/2021;R$ 97,73
;;;05/2021;R$ 98,94
;;;06/2021;R$ 88,34
;;;07/2021;R$ 95,69
;;;08/2021;R$ 100,75
;;;09/2021;R$ 92,82
;;;10/2021;R$ 90,24
;;;11/2021;R$ 84,91
;;;12/2021;R$ 86,81
;;;01/2022;R$ 96,44
;;;02/2022;R$ 98,21
;;;03/2022;R$ 99,86
;;;04/2022;R$ 87,76
;;;05/2022;R$ 90,28
;;;06/2022;R$ 89,15
;;;07/2022;R$ 82,16
;;;08/2022;R$ 82,66
;;;09/2022;R$ 83,82
;;;10/2022;R$ 84,93
;;;11/2022;R$ 85,06
;;;12/2022;R$ 82,93
;;;01/2023;R$ 84,91
;ATACADO;RN;01/2020;R$ 52,70
;;;02/2020;R$ 54,76
;;;03/2020;R$ 56,00
;;;04/2020;R$ 55,59
;;;05/2020;R$ 52,87
;;;06/2020;R$ 49,88
;;;07/2020;R$ 52,10
;;;08/2020;R$ 59,47
;;;09/2020;R$ 63,04
;;;10/2020;R$ 63,95
;;;11/2020;R$ 70,29
;;;12/2020;R$ 73,14
;;;01/2021;R$ 75,11
;;;02/2021;R$ 75,95
;;;03/2021;R$ 77,50
;;;04/2021;R$ 83,24
;;;05/2021;R$ 92,10
;;;06/2021;R$ 91,30
;;;07/2021;R$ 92,59
;;;08/2021;R$ 98,31
;;;09/2021;R$ 100,35
;;;10/2021;R$ 92,80
;;;11/2021;R$ 88,31
;;;12/2021;R$ 85,97
;;;01/2022;R$ 94,58
;;;02/2022;R$ 97,45
;;;03/2022;R$ 98,87
;;;04/2022;R$ 94,74
;;;05/2022;R$ 93,48
;;;06/2022;R$ 91,80
;;;07/2022;R$ 90,49
;;;08/2022;R$ 84,13
;;;09/2022;R$ 88,06
;;;10/2022;R$ 90,01
;;;11/2022;R$ 88,24
;;;12/2022;R$ 87,62
;;;01/2023;R$ 90,50
;ATACADO;RR;01/2020;R$ 48,52
;;;02/2020;R$ 51,90
;;;03/2020;R$ 58,77
;;;04/2020;R$ 59,40
;;;05/2020;R$ 60,64
;;;08/2020;R$ 64,80
;;;09/2020;R$ 65,12
;;;10/2020;R$ 70,00
;;;11/2020;R$ 66,00
;;;12/2020;R$ 67,04
;;;01/2021;R$ 69,00
;ATACADO;RS;01/2020;R$ 47,66
;;;02/2020;R$ 50,42
;;;03/2020;R$ 51,20
;;;04/2020;R$ 51,23
;;;05/2020;R$ 50,13
;;;06/2020;R$ 49,37
;;;07/2020;R$ 50,85
;;;08/2020;R$ 54,80
;;;09/2020;R$ 64,07
;;;10/2020;R$ 74,33
;;;11/2020;R$ 91,87
;;;12/2020;R$ 84,14
;;;01/2021;R$ 85,16
;;;02/2021;R$ 88,12
;;;03/2021;R$ 87,78
;;;04/2021;R$ 94,00
;;;05/2021;R$ 100,13
;;;06/2021;R$ 92,32
;;;07/2021;R$ 95,33
;;;08/2021;R$ 100,33
;;;09/2021;R$ 97,84
;;;10/2021;R$ 96,71
;;;11/2021;R$ 93,90
;;;12/2021;R$ 95,80
;;;01/2022;R$ 105,27
;;;02/2022;R$ 104,69
;;;03/2022;R$ 104,32
;;;04/2022;R$ 97,08
;;;05/2022;R$ 97,78
